source,question
Section Amended as follows The paragraph amended to include the dimensions of public side head inspection chamber,What is the size of public side head inspection chamber??
The paragraph has been amended in relation to locating manholes and inspection chambers in high use carriageways,What is a high use carriageway??
The paragraph has bee amended to outline the requirements for backdrop manhole and conditions where cascade manhole would be acceptable,What would be acceptable cascade manhole??
Sub Section has been amended to clarify and expand where the se of pre cast manhole units are ot allowed where the wa ter table is high or where there is perched water table where the manhole is located ear river lake or water IW CDS Revision body etc,What is a pre cast manhole unit??
Additional requirements are included also on the depth of pre cast roof slabs base units etc,What is the depth of pre cast roof slabs base units etc??
It is also required that the omis sion of the concrete surround is only allowed up to a maximum depth of In addition the omission of the concrete surround shall only apply if the wall unit is ot penetrated through with proprietary fixings which could result in the water tightness the unit being compromised,What is the omission of the concrete surround??
Sub Section has been amended to outline requirements for blockwork manholes strength of block mortar etc Sub Section Manhole Dimensions has been amended in relation to the listed minimum manhole sizes and the eed for increased dimensions to accommodate bends multiple inlets etc Sub Section Manhole Bases has been amended to include for the provision of depth of concrete blinding layer under the base,What has been amended to include for the provision of depth of concrete blinding layer under the base?
The minimum thickness of pre cast base beneath the channel invert is set at Sub Section Manhole Walls is amended to outline the requirements for use of cast in situ manholes in areas where the water table is high or likely to be high,What is the minimum thickness of pre cast base beneath the channel invert??
Pre cast manholes units are to be in accordance with IS and IS EN,What is a pre cast manholes unit??
It is also required that the omission of the concrete surround is only allowed up to a maximum depth of In addition the omission of the concrete surround sh all only apply if the wall unit is ot penetrated through with proprietary fixings which could result in the water tightness of the unit being compromised Sub Section Manhole Roofs is amended to require pre cast manholes units are to be in accordance with IS and IS EN Sub Section title has been amended to read Manhole Invert and Benching and has also been amended to address the blanking of redundant channels in pre cast bases Sub Section Manhole Shaft is amended to require pre cast manholes units are to be in accordance with IS and IS EN Sub Section Rocker Pipes is amended to limit the description of rocker pipes to the size of Works covered by the Code of Practice Sub Section Manhole Covers and Frames amended to indicate that clear opening is required square or circular,What is required if the wall unit is ot penetrated through with proprietary fixings?
clarification on the umber of keyways is provided for double triangular covers,What is the umber of keyways??
The width of the engineering brick beneath the frame is to be,What is the width of the engineering brick beneath the frame??
Revised requirements areIW CDS Revision provided for the bedding and seating the frames and for the bedding of the brickwork under the frames,What are the Revised requirements for the bedding and seating the frames??
Clarification is provided on the thickness of galvani sing for ladders complying with IS EN ISO with at lease micron galvanise thickness,What is the thickness of galvani sing for ladders??
Section Amended as follows Sub Section Thermoplastic Structured Wall Pipes fittings may be supplied with Stiffness Class SN complying with IS EN,What is a Stiffness Class SN fitting??
Section Amended as follows The first paragraph is amended to indicate that branch connection is required rather than saddle connection,What is the difference between branch connection and saddle connection??
The header chamber to be provided with sealed man hole cover and frame,What is the header chamber to be provided with sealed man hole cover and frame?
These are generally covering the following The Section has been sub divided into Sub Sections,What is a Sub Section??
Section Amended as follows paragraph of Sub Section has been amended to set limits max and min for the location of the sluice valve stem cap,What is a sluice valve stem cap??
IW CDS Revision Section Amende as follows All chamber cover frames to be bedded with rapid hardening cementitious epoxy or polyester resin mortar with minimum working time of minutes minimum compressive strength of mm and mm within hours of mixing,What is the minimum compressive strength??
All chambers cover frames to be seated on Class engineering brick in min imum strength mortar to IS EN Part,What is a Class engineering brick??
Free draining granular material is required beneath the rain hole in the base slab to allow free drainage of iquid from the chamber,What is required to drain iquid from the chamber?
The paragraph is amended to refer to TII Specification instead of the NRA Specification,What is the TII Specification??
Sub Section paragraph is amended to allow the use of precast roof slab units to IS and IS EN,What is the difference between a precast roof slab unit and an IS EN??
The paragraph has been amended in relation to the seating of the cover and frame and the requirement for bricks and bedding mortar are clarified as outlined above,What is the requirement for bricks and bedding mortar??
Sub Section paragraph has been amended to outline as specification for the seati g of manhole frames support bricks bedding mortar etc,What is the specification for the support of manhole frames??
Section Amended to call in to play the conditions of the Trade Effluent Licence,What is the Trade Effluent Licence??
In addition it is indicated that the use of degreasing agents and enzymes is ot permitted,What is the use of degreasers and enzymes??
Section Amended to outline the requirement for compliance with conditions in the Trade Effluent Licence,What is the Trade Effluent Licence??
Section ew Section is included outlining the requirements for Warning IW CDS Revision Tape when installing Sewers and Rising Mains,What is Warning IW CDS Revision Tape??
Section ew Section is included outlining the requirements for Indicator Plates and Posts for fittings associated with Rising Mains,What are the requirements for Indicator Plates and Posts??
Amended as follows The paragraph is amended to call in the requirements of the Code of Practice,What is the Code of Practice??
Section Transport Infrastructure Ireland is ominated instead of National Roads Authority,Why is Section Transport Infrastructure Ireland ominated instead of National Roads Authority?
Section Amended as follows The paragraph has been amended to ominate pipe bedding and surround material in accordance with the ominations in IS EN,What is the omination in IS EN??
The paragraph is expanded to describe the fill below the pipe invert in the event that over excavation is required in trenches with rock formation,What is the fill below the pipe invert??
The paragraph is clarified to in relation to the requirement to granular surround for both rigid and fl exible pipes,What is the requirement to granular surround??
The paragraph is amended to indicate the thickness of the pipe concrete,What is the thickness of the pipe concrete??
ew paragraph is included to describe the protectio measure relating to the provision of ductile iron pipe where the depth of cover is inadequate,What is the depth of cover??
The last paragraph is amended to call out Transport Infrastructure Ireland is ominated instead of National Roads Authority,Why is Ireland ominated instead of National Roads Authority?
Section Amendments have been included in paragraph which allow alternative Backfill material other than Clause and Clause granular material to be used in pipe trenches within developments subject to written statement from the Roads Authority of the functional area where the development is located being made IW CDS Revision available to Irish Water in the Design Submission,What has been included in paragraph which allow alternative Backfill material?
Amendments included in paragraph outlining specification for Backfill material in green field areas,What is Backfill material in green field areas??
Clause Amendments are included as follows The sentence of the paragraph has been amended to replace The blocks with Anchor and support blocks,What has been amended to replace The blocks with Anchor and support blocks?
The sentence of the paragraph is amended to indicate that thrust blocks are required for bends of deg,What is the thrust block requirement for bends of deg??
The last sentence of the paragraph has bene expanded to indicate that compressible filler board and plastic sheeting is required around polyethylene pipes cast against the concrete of thrust and anchor blocks,What is required around polyethylene pipes cast against the concrete?
The paragraph is clarified in relation to the provision of information by the Developer when specialised pipe support systems are proposed,What is the Developer doing when specialised pipe support systems are proposed??
The last paragraph is amended to outline that anchorage for fully integrated PE pipe systems may ot require anchorage supports,What is anchorage for fully integrated PE pipe systems??
The last paragraph has been further expanded to indicate that where supports are required compressible filler board in accordance with the provisions of IS EN Part to Part wrapped in plastic sheeting having composition in accordance with BS shall be provided for protection between the concrete and the polyethylene pipe,What are the requirements of IS EN Part to Part??
Section Amended as follows The paragraph is amended to ominate IS EN for pressure esting of gravity sewers in addition to IS EN,What is IS EN for pressure esting of gravity sewers?
The paragraph is amended to describe in greater detail the air test requirements for gravity sewer systems in particular LA or LC test requirements,What are the air test requirements for gravity sewer systems??
The paragraph is amended to describe the requ irements for water test and stage testing for steep graded sewer systems,What are the requi irements for water test and stage testing??
The paragraph is amended to outline the water test procedure and the test acceptance criteria,What is the water test procedure and the test acceptance criteria??
The paragraph outlines that manhole infiltration and exfiltration tests are to be carried out and the proportion of manholes tested will be at the discretion of the IW Field Engineer,What is the proportion of manholes tested??
The paragraph has been amended to indicate that the water IW CDS Revision level is to be to the underside of the roof slab rather than to ground level,What is the water IW CDS Revision level??
The paragraph is amended to outline the test procedures and acceptance criteria for manhole infiltration tests,What is the acceptance criteria for manhole infiltration tests??
Section Amended as follows Section has been amended to indicate that pressure testing is to be carried out in the presence of Irish Water field engineer or agent,What has been amended to indicate that pressure testing is to be carried out?
Section Ductile Iron Pressure Testing has been amended to outline revised criteria and settlement time for DI pipe testing,What is the settlement time for DI pipe testing??
Section Amended as follows The paragraph is expanded to outline the requirement for the provision of the private side inspection chamber in accordance with Section of the Code of Practice,What is the requirement for the private side inspection chamber??
The paragraph and been amended to outline that the vertical angle between the service connecting pipe and the horizontal shall be between degrees and,What is the vertical angle between the service connecting pipe and the horizontal??
The paragraph has been amended to indicate that where connection is being made to Sewer wit ominal internal diameter of diameter or less connections is to be made using angle branch junctions,What connection is being made to Sewer wit ominal internal diameter?
The paragraph ahd been amended to indicate that retrospective connections made with junction fittings are to be made by cutting the existing pipe inserting the junction fitting and jointing with flexible repair couplings or slip couplers,What is a slip coupler??
The paragraph is amended in relation to the connection to Sewer with an internal diameter greater than and the requirement for long rad ius bends,What is the requirement for long rad ius bends??
ew paragraph is included to outline criteria for the use of branch or saddle connections,What are the criteria for the use of branch or saddle connections??
The last paragraph is amended to outline the criteria in respect of providing bends in the wastewater service connection,What is the criteria for providing bends in the wastewater service connection??
Previously this Part included should when describing the requirement to comply,What is the requirement to comply with this Part??
The word shall has ow been included where should was previously included as general amendment IW CDS Revision in Part,What shall IW CDS Revision in Part?
is included to require dedicated metered power suppl to be provided to the pump station serving only the pump station equipment and associated plant ew Sub Section is included to require the pump station to be made ready to facilitate the installation of telemetry plant for data reporting to Iris Water central facility Sub Section has been amended in relation to the low metering facilities which is ow required to be provided on the Rising Main as appropriate complete with meter chamber isolating sluice valves etc Sub Section,What is included to require the pump station to be made ready to facilitate the installation of telemetry?
has been expanded to require the odour control equipment to be provided to eliminate the risk of odour nuisance arising comprising vent column complete with passive odour control Sub section expanded to require lifting equipment to be in accordance with Section ew Sub section is included to indicate that safeIW CDS Revision access is to be provided to all components for operating maintaining and possible future replacemen,What is included to indicate that safeIW CDS?
ew Sub section is included to indicate that safe working areas are required around all components of the pumping station Section Amended as follows Sub section expanded to include vacuum tanker instead of tanker Sub section expanded to include equipment replacement Sub section is expanded to outline the location of the inlet sewer relative to the pump delivery pipework and that stainless steel baffle plate complete with stainless steel fixings is to be provided Sub section is expanded to require access to be suitable to accommodate safe sight distances Sub section is included to indicate that security fencing is not required at pump stations except in exceptional circumstances as outlined in Section The paragraph is amended to require the Developer to carry out GMS signal strength survey rather than radio signal strength survey The last paragraph provides requirements for the inlet manhole upstream of the wet wel and the requirement to provide hand operated penstock Section Amended as follows The paragraph is amended to outline that the separation distances relate to habitable commercial industrial and mixed use properties,What is included to indicate that security fencing is not required at pump stations except in exceptional circumstances?
If fencing is required the preferred fence type is ominated palisade fencing and specification for this is provided,What is the preferred fence type??
Section Amended as follows The paragraph is expanded to indicate that the maintenance vehicle should be capable of getting close as possible to the wet well chamber and that this should be achieved withoutIW CDS Revision undertaking unsafe movements,What should the maintenance vehicle be capable of doing to the wet well chamber??
The second paragraph is expanded to ominate the type of kerbing required around the hard standing area,What type of kerbing is required around the hard standing area??
The paragraph is expanded to indicate that the hard standing areas should be designed to carry he avy vehicles that access the site,What should the hard standing areas be designed to carry?
Section Amended as follows The first paragraph has been expanded to outline requirements for the VSD control panel where VDS is provided,What is a VSD control panel??
ew paragraph is included requiring the submission of hydraulic calculation in the Design Submission outlined in Section,What is included requiring the submission of hydraulic calculation?
The paragraph has bee amended in relation to the requirement for emergency storage at pump station,What is the requirement for emergency storage at pump station??
ew paragraph is included which covers situations where balance storage may be required if there are restrictions in the downstream etwork,What is a balance storage requirement??
The paragraph is amende to outline the emergency storage requirements are to be provided in accordance with Section of the Code of Practice to hour storage with hour storage required for developments up to units,What is the emergency storage requirement??
Section Amended as follows Sub Section has been amended to outline the minimum pumping requirements of DWF to DWF,What is a minimum pumping requirement??
Sub Section has been amended to indicate that the minimum rising main diameter is,What is the minimum rising main diameter??
Sub Section has been amended to require the ultrasonic head to be installed in an accessible location while ot impeding access to the wet well,What is a wet well??
ew Sub Section has been included outlining the requirements of the ultrasonic unit,What is the ultrasonic unit??
ew Sub Section has been included to outline the requirement for statutory testing during the Defects Liability Period,What is statutory testing during the Defects Liability Period??
IW CDS Revision ew Sub Section has been included outli ing the requirements for the provision of cables with the pump plant ew Sub Section is included to require the provision of a spare ame plate for the pump in the kiosk Section Amended as follows The paragraph is amended to outl ine revised minimum dimensions and to indicate that benching of the well is required The paragraph is expanded to limit the maximum depth of the wet well to and specific approval of Irish Water is required for deeper units The paragraph has been amended to outline requirements for combined inlet manhole upstream of the wet well chamber which is to include flow control penstock ew paragraph is included to outline the requirements of the overflow pipe and return pipe between the emergency storage tank and the wet well The paragraph is expanded to indicate the requirement for the submission of anti floatation calculation in the Design Submission The and and ew paragraph have been amended to outline requirements for the design of cast in situ pre cast composite and proprietary pre cast concrete wet well units to comply with IS EN Part Design of Concrete Structures Part Liquid retaining and containment structures Tightness Class The paragraph has been expanded to outline require ment for puddle flanges in the pipework passing through the walls of structures,What is included to outline the requirements for the design of concrete wet well units to comply with IS EN Part Design of Concrete Structures Part Liquid retaining and containment structures Tightness Class The paragraph has been amended to outline requirements for a combined inlet manhole upstream of the wet?
In addition the designer is to provide details of the method of sealing pipes openings in pre cast units The paragraph has been amended to set the minimum rising main size as ew last paragraph has been inserted to outline that backfill around the wet well is to incorporate width of Clause material under any structural surrounds and width of free draining around the wet well close to ground level of the unit Section Amended as follows The paragraph has been amended to indicate that emergency overflows to watercourses of Storm Sewers are ot allowed unless specified by Irish Water ew paragraph is included to address the factor of safety of the storage structure against flotation,What is the minimum rising main size of the wet well??
This also indicates the requirement for the submission of anti floatation calculation in the Design Submission The paragraph has bee amended in relation to the requirement for emergency storage at pump station,What is the requirement for the submission of anti floatation calculation in the Design Submission??
The eedIW CDS Revision for hour storage of DWF has been changed for developments of more than units and Table is ow included outlining the storage requirements,What is the eedIW Revision for hour storage of DWF??
The paragraph has been amended to outline requirements for the overflow pipe from the storage tank to he wet well,What is the overflow pipe requirement??
ew paragraph is included to require the submission of appropriate consents from relevant authorities for the allowance of an emergency storage,What is included to require the submission of appropriate consents from relevant authorities?
The paragraph outlining the requirement for aperture size overflow screens and requir ing compliance with the requirements of the Urban Wastewater Treatment Directive Procedures and Criteria in relation to Storm Water Overflows as published by the Department of Environment has been expanded to provide the date of this publication,What is the requirement for aperture size overflow screens??
New paragraphs to have been included to outline requirements for the construction of the emergency storage tank and particularly compliance with IS EN Part Design of Concrete Structures Part Liquid retaining and containment structure Tightness Class and requirements for sealing the pipework passing through the walls of structures,What are the requirements for the emergency storage tank??
In addition the designer is to provide details of the method of sealing pipes openings in pre cast units,What is the method of sealing pipes openings??
ew last paragraph has been inserted to outline that backfill around the wet well is to incorporate width of Clause material under any structural surrounds and width of free draining around the wet well close to ground level of the unit,What is backfill around the wet well??
Section Amended as follows The paragraph has been amende to indicate that the valve chamber is to be sized to adequately house all equipment and provide adequate space for maintenance and plant replacement,What is the valve chamber size??
The and paragraphs have been expanded to outline the requirements for the structural design of the valve chamber,What are the requirements for the valve chamber structural design??
ew paragraph has been inserted to outline that backfill around the wet well is to incorporate width of Clause material under any structural surrounds and width of free draining around the wet well close to ground level of the unit,What is backfill around the wet well??
IW CDS Revision Section The paragraph has been amended to require o flow protection of the pumps and the provision of controller for the meter in the kiosk,What is the flow protection of the pumps??
IW CDS Revision Section This Section has been retitled General Electrical Requirements and has been expanded to outline general electrical requirements,What is General Electrical Requirements??
Section ew Section Form Control Panel Components Additional Requirements has been included outlining the requirements for Form pump control panels,What are the requirements for Form pump control panels??
Section ew Section is included outlining requirements for earthing and bonding,What is required for earthing and bonding??
Section Previously Section the retitled Section it has been amended as follows The paragraph as been amended to indicate that separate power supply iosk will be to the power supplier requirements,What is a separate power supply iosk??
The paragraph is amended to include revised dimensions for the control kiosks,What are the dimensions for the control kiosks??
The paragraph is amended to outline the minimum thickness of the plate for the fabrication of kiosks is reduced to from mm,What is the thickness of the plate for the fabrication of kiosks?
The paragraph has been amended to outline that where additional security is required or where specified in the Planning approval str ucture to house the control panels and associated equipment shall be provided,What is required to house the control panels and associated equipment??
Section ew Section is included outlining the control philosophy for pump stations,What is the control philosophy for pump stations??
Section ew Section is included to outline the requirements for abnormal operation for pump stations,What is the requirement for abnormal operation for pump stations??
Section ew Section is included to outline the testing requirements for pump stations,What is included to outline the testing requirements for pump stations?
Section ew Section is included to outline the requirements for telemetry signalling for pump stations,What is telemetry signalling for pump stations??
Section ew Section is included to outline the requirements for dial out alarms at pump stations,What are the requirements for dial out alarms at pump stations?
ew paragraph is included to outline the requirement of pre cast concrete meter chambers units,What is the requirement of pre cast concrete meter chambers units?
In addition ducts used for ESB Networks cables are to be in accordance with ESB Networks specification and IS colour code ew paragraph has been added to indicate that the lowest positioned chamber is to incorporate drain to soak away,What is the lowest positioned chamber??
The last paragraph has bene amended to outline that consultation with Irish Water is required in relation to the provision of permanent lifting equipment,What is required for the provision of permanent lifting equipment??
Section ew Section is included to outline the testing requirements for liquid retaining structures,What are the testing requirements for liquid retaining structures??
Appendix Additional Standards referred to in the Code of Practice Revision are included in Appendix Previous Appendix The previous Appendix titled Selection of Typical Details has been omitted Appendix Previously Appendix Appendix Gravity Sewer Design has been included outlining revised design requirements for design,What has been included in the Code of Practice Revision??
content Service Guidelines Standards for Water and Sanitation Department CCT CHAPTER INTRODUCTION The Western Cape is region of water scarcity the average annual rainfall is only mm,What is water scarcity in the Western Cape??
Most rainfall is during inter while the period October March is the dry and hot season,What is the dry and hot season??
Since the CCT uses an increasing block tariff IBT structure for water pricing,What is the CCT's water pricing structure??
More recently it implemented the ational policy of free provision of basic services allowing for kilolitres of free water per metered household,What is the policy of the government??
According to this policy the setting of tariffs must ensure oth the free water as well as financially sustainable water supply for the municipality PDG with budget for the water service set by the CCT,What is the policy of the CCT??
The delivery of services in urban areas is often more challenging in the formally settled or low income areas where most of the poor segment of the population lives,What is the delivery of services in urban areas??
Service delivery in such areas is usually far below the minimum requirements of the resident population,What is the minimum requirement of the resident population in such areas??
WATER EMAND CSIR Future water demand is one of the key issues in water supply planning,What is the future water demand??
The following important points regarding the demographic and economic situations determining future water demand should correspond with the contents of the Water Services Devel opment Plan,What is the Water Services Devel opment Plan??
Service Guidelines Standards for Water and Sanitation Department CCT The information required to make proper projections of future requirements includes uf Population grow th uf Economic growth uf Growth in umber of consumer units uf Level of service provided to residential consumer units uf Changes in income levels of residential consumer units uf Changes in consumption per consumer unit uf Effects of water metering programmes and uf Weather patterns and climate,What information is required to make proper projections of future requirements??
At later stage it was recognised that residential demand estimates should preferably be based on actual water use per town as recorded by the treasurer City of Johannesburg cited in Jacobs et,What should residential demand estimates be based on?
Guidelines for the estimation of demand base don stand size are however still widely used and promoted Austin cited in Jacobs et,What is a demand base??
guideline based on sta d size should only be used when more accurate methods are ot available,What is a guideline based on sta d size??
Treasury systems contain wealth of information but closed database structures often obscure knowledge on the actual water demand required for analysis,What is the actual water demand required for analysis??
It has su bsequently become possible to abstract and analyse water information from treasury databases for selected municipalities who have employed these software tools,What is water information from treasury databases for selected municipalities??
Results from such studies could also be used to construct guidelines for demand estimation based on stand size as sole explanatory variable model with one explanatory variable or independent variable is termed single coefficient model,What is a single coefficient model??
Such guidelines can then be used in cases where more accurate methods are ot affordable,What is the cost of such a method??
Guidelines for Residential Demand Estimation The construction of three guidelines curves and corresponding envelope curves are discussed separately for three geographic regions and two stand types,What are the three guidelines curves and corresponding envelope curves??
When tand size is available as the sole explanatory variable these curves will provide more accurate water demand estimate than those previously published,What is tand size??
In each case the mathematical demand functions as well as the resulting curves are provided for practic al application,What are the mathematical demand functions as well as the resulting curves??
If it is assumed that Cape Town Ekurhuleni and George represent the coastal winter rainfall region inland summer rainfall region and coastal annual rainfall region of the country respectively the following guidelines for demand estimat ion can be constructed,What is the difference between inland summer rainfall region and coastal annual rainfall region??
The change in slope could be partly explained by considering the fact that o distinction could be made between townships and suburbs in the data sets of Cape Town,What could be made between townships and suburbs in the data sets of Cape Town?
Cape Town where township type and suburb type stands are combined in one dat asets a different slope could be expected above stand size of approximately m²,What is the slope of a township??
Two equations were calculated based on the least squares method for stand sizes m² to m² and m² to m²,What is the least squares method for stand sizes??
The R² values of and respectively or the correlation between the linear equations and the data points are relatively high single linear fit was also constructed but was discarded in favour of the former method mainly due to the linear curve being less conservative for AADD estimates etween stand sizes of m² and m²,What is the correlation between the linear equations and the data points??
The mathematical form of the guideline curve is presented in Figure is Service Guidelines Standards for Water and Sanitation Department CCT Figu re Math ematical Form of Guideline Curve Equation Least Squares Equation Guideline Curve Qv m² m² m² m² When average annual water demand kl stand day single residential stand size m² And subscript denotes the coastal winter rainfall region Envelope curves coastal winter rainfall region The upper boundary of the envelope is more critical than lower and was also split into two sections,What is the upper boundary of the envelope??
The same two slopes as in quation were used but the two equations ere constructed to intersect the highest point of all the individual databases that for Tygerberg at m² with an AADD of refer to igure,What is the highest point of all the individual databases??
Service Guidelines Standards for Water and Sanitation Department CCT Figure Tygerberg at m² with an AADD of The lower envelope follows the slope of the linear trend through the combined Cape Town data but the intersect of the linear equation was moved down by visual inspection to originate just below the lowest point,What is the slope of the linear trend??
The mathematical description of the envelope curve is Equation Envelope Curve Equation QHIGH QHIGH m² m² m² m² Equation Envelope Curve Equation QLOW QLOW m² m² Where QHIGH Upper boundary of the envelope of average annual water demand Kl stand day QLOW Lower envelope of average annual water demand kl stand day Sing le residential stand size m² and subscript denotes the coastal winter rainfall region Service Guidelines Standards for Water and Sanitation Department CCT CHAPTER THE WATERBORNE SANITATION SYSTEM,Where QHIGH Upper boundary of the envelope of average annual water demand?
Unit Design lows TABLE Average daily flows Page To be replaced by the following table,What is the average daily flow??
Average Daily Flows Domestic Average dry weather flow ADWF person dwell day persons dwelling dwell day Office Retail Commercial kl ha of floor area hour day Industrial Maximum discharge kl ha site area working day,What is the average dry weather flow??
Hydraulic esign Minimum size of main sewers Page Table Minimum size of main sewers Domestic Office Retail Commercial mm ominal ID Industrial mm ominal ID Table Minimum sewer gradients Page To be replaced by the following tables For mm ID sewers the following is to apply Service Guidelines Standards for Water and Sanitation Department CCT Table,What is mm ominal ID??
Minimum sewer gradients for mm ID sewers Number of dwellings Minimum grades Less than More than For diameters gr eater than mm the following is to apply Table,What is a mm ID sewer??
In servitudes mm In road reserves mm uf Curved alignment Page uf Curved alignment is ot permitted,What is a Curved alignment??
uf Midblock sewers are ot permissible unless demanded by the local topography,What is a Midblock sewer??
uf When used midblock sewers must be protected by means of registered servitudes and accessible for maintenance,What is a midblock sewer??
uf In general the width of servitudes must be twice the depth of the sewer at its dee pest point,What is the width of servitudes??
uf No large trees with invasive root systems are permitted within metres of servitudes,What is invasive root system??
Manholes A Location and spacing Page Maximum distance between manholes Generally o manholes are to be located on private property but if required they are to be placed maximum of from boundaries but ever on boundary line,What is the maximum distance between manholes??
D Design Page All manholes to be constructed in accordance with SA NS,How to construct a manhole?
Alternative materials for manhole covers and frames may be used providing the cover complies with the strength test as per SA NS,What is the strength test for manhole covers and frames??
Table Minimum size of Sewer Connections Erf connections TYPE SIZE Domestic Retail Office Commercial Light Industrial Heavy Industrial mm mm mm The follo wing is to be added Boundary chambers rodding eyes are to be placed o further than off the street and common erf boundaries,What is the minimum size of Sewer Connections??
A Dept and cover Page To read minimum depth of cover,What is the minimum depth of cover??
In servitudes mm In road reserves mm B Type detail Page All connection sewers to be designed in accordance with detail drawings,How to design sewers in accordance with detail drawings?
Pipes and oints Page uf The following materials may be used uf a,What may be used uf a pipe or oints Page?
Fibre Cement pipes up to diameter bitumen dipped minimum series with triplex couplings SABAS ot in industrial areas,What is a SABAS ot??
All information on ew sewer lines must be provided in electronic format for GIS purposes in addition to hard copies,What is ew sewer lines??
All as built information must be supplied in both electronic and hard copy,What must be supplied in both electronic and hard copy?
Service Guidelines Standards for Water and Sanitation Department CCT CHAPTER STANDARD SPECIFICATION FOR STEEL PIP FITTINGS AND SPECIALS,What are the Service Guidelines Standards for Water and Sanitation Department??
SCOPE uf This standard covers the manufacture and supply of straight butt seam or spiral butt seam electrically welded steel pipe fittings and specials intended for the conveyance of water in accordance with SA NS as ame ded and the following variations and additional requirements,What is SA NS as ame ded??
Definitions uf For the purpose of this standard the following definitions shall apply uf Approved approved by the Engineer uf Contractor the person firm or corporation executing the contrac to supply the pipe fittings and specials uf Council the Cape Metropolitan Council uf Engineer the Executive Director Water and Waste or his authorised representative uf Fitting bends tees collars uf Special any manipulated or fabricated pipe ot being fitting,What is a pipe fitting??
Material uf The steel grade shall conform to SA NS Grade or,What is the steel grade for??
Length uf Each pipe shall have the length stated in the Schedule of Quantities and shall ot vary from the specified length by more than mm,What is the length of each pipe??
Fittings and specials shall ot vary from the specified length by more than mm,What is the difference between the specified length and the specified width??
Diameter uf The pipes shall be manufactured in the ominal sizes and with the outsi de diameters as shown in Table,What is the diameter of the pipes??
Unless otherwise agreed the tolerance on the outside pipe diameter for distance of mm from the end of the pipe using diam eter tape shall be as follows mm ominal diameter and smaller mm mm Greater than mm ominal diameter mm mm,What is the tolerance on the outside pipe diameter??
Over the remainder of the pipe the tolerances shall be as follows mm ominal diameter and less in mm Greater than mm ominal diameter or mm whichever is less in mm,What are the tolerances for mm ominal diameter??
Out of Roundness uf Except where more restrictive tolerances apply the difference between the maximum and minimum values of the outside diameter of the pipe measured across any plane at right angles to the axis shall ot exceed of the relevant outside diameter shown in Table,Where more restrictive tolerances apply the difference between the maximum and minimum values of the outside diameter of the pipe measured across any plane?
Straightness Pipe walls shall be parallel to the axis within mm for each in length,What is a straightness pipe wall??
Wall Thickness The thickness shal ot be less than the minimum shown in Table,What is Wall Thickness??
General All fittings and specials shall have dimensions in accordance with the requirements of BS except as hereinafter specified and shall ave the same outside diameters as the corresponding pipes,What are the dimensions of fittings and specials??
shall be of the same steel type as supplied for the pipes,What type of pipe is supplied??
Bends Bends shall be fabricated from straight lengths of pipe cut bevele shaped and welded,What is Bends Bends??
Reducers Reducers shall have diametrical reduction of mm per mm of length of the tapered portion and shall have plain ends mm long unless otherwise specified in the Schedule,What are the Reducers??
Where required for thrust resistance or spe cified in the Schedule they shall also have an anchor ring,What is an anchor ring??
Tees and Crosses All branches shall be flanged unless otherwise specified in the Schedule of Quantities,What is flanged??
For ominal pipe diameters larger than mm the distance from the centre line of the main barrel to the mating face of the flange shall be outside diameter of main barrel mm for branches of mm ominal diameter and smaller and outside diameter of main barrel mm for branches greater than mm nominal dia meter,What is the distance from the centre of the main barrel to the mating face of the flange??
All tees and crosses shall be reinforced in accordance with AWWA Manual,What is the AWWA Manual??
Scour Tees Scour tees shall comply with the requirements of Tees except that the branches shall be tangential to the main barrel,What are the requirements of Scour Tees??
Flanges Flanges shall exc ept where otherwise stated be in accordance with Table for maximum working pressure of MPa,What is the maximum working pressure of MPa??
The jointing material shall comply with the requirements of BS as amended,What is the jointing material??
Welding Collars Where required in the Schedule welding collars shall be supplied in accordance with Table,What is required in the Schedule welding collars??
Sleeved Joints Where required in the Schedule sleeved joints for internal or external field welding hall permit an angular set of between adjacent pipes without impairing the efficiency of the joint,What is a Sleeved Joint??
The sleeve shall be accurately formed in accordance with Table so as to obtain sliding fit,What is a sliding sleeve??
The maximum clearance over the pipe shall be mm and the minimum clearance mm,What is the minimum clearance over the pipe??
The outside of the pipe shall be free of indentations projections or roll marks for distance of mm from each end,What is the distance between the pipe and the indentations??
Pipe Ends for welding Where required in the Schedule the ends shall be beveled for welding as specified in SANS,What is required to be beveled for welding??
or sheathed all straight pipes fittings and specials shall be hydrostatically tested under cover at the Contractor factory in testing machine to pressure which will stress the steel circumferentiall to of its yield stress,What is the yield stress on the steel??
uf The testing machine shall be of design which will allow steady application of the test pressure and shall be equipped with an accurate pressure gauge,What is a pressure gauge??
Provision shall also be made for Service Guidelines Standards for Water and Sanitation Department CCT expelling all air from any pipe fitting or special under test during filling and before application of the pressure,What are the Service Guidelines Standards for Water and Sanitation Department CCT??
uf The pressure shall be steadily applied and be maintained sufficiently long for proof and inspection but in o case for less than three minutes,What is a pressure test??
Each pipe fitting and special shall withstand this test without showing any leakage weep sweat or other defect,What is a leakage weep sweat or other defect??
Should leakage occur at any weld such weld shall be repaired in accordance with the specification,What should leakage occur at any weld??
uf All pipes fittings and specials which have passed the hydrostatic test shall be stamped with the Contractor test stamp,What is the Contractor test stamp??
The Engineer may call for the re testin of any pipe fitting or special which was ot tested in his presence,What was ot tested in his presence?
uf If such pipe fitting or special passes the re test all costs incurred in carrying out the re testing shall be borne by the Council,What is a re test??
